Sl. No.,Region-wise,2022,2023,2024
1,Assam and Meghalaya,0,0,1
2,N M M T,0,0,0
3,Sub-Himalayan West Bengal and Sikkim,1,15,11
4,Gangetic West Bengal,8,27,31
5,Odisha,11,24,37
6,Jharkhand,27,16,23
7,Bihar,13,29,30
8,East Uttar Pradesh,33,11,33
9,West Uttar Pradesh,28,5,32
10,Uttarakhand,5,0,10
11,"Haryana, Chandigarh and Delhi",37,5,30
12,Punjab,22,3,27
13,Himachal Pradesh,38,0,18
14,Jammu and Kashmir and Ladakh,19,0,11
15,West Rajasthan,58,3,29
16,East Rajasthan,28,0,23
17,West Madhya Pradesh,42,4,24
18,East Madhya Pradesh,34,13,26
19,Gujarat Region,13,1,14
20,Saurashtra and Kutch,25,4,16
21,Konkan and Goa,2,6,4
22,Madhya Maharashtra,2,1,8
23,Marathwada,0,0,3
24,Vidarbha,18,11,11
25,Chhattisgarh,3,12,13
26,Coastal Andhra Pradesh and Yanam,0,22,11
27,Telangana,0,14,12
28,Rayalaseema,0,1,16
29,"Tamil, Puducherry and Karaikal",0,1,13
30,Coastal Karnataka,0,2,3
31,N. I. Karnataka,0,0,18
32,S. I. Karnataka,0,0,10
33,Kerala and Mahe,0,0,6
All Total Heatwave Days,All Total Heatwave Days,467,230,554